УСЛУГА	ОПИСАНИЕ	СТОИМОСТЬ	
Проектирование и прототипирование	Документация по проекту, анализ конкурентов и детальная проработка функций сайта - неотъемлемая часть работ по созданию интернет-магазина. Мы не рекомендуем Вам разрабатывать сайты без проектной документации, поскольку результат может разочаровать Вас.	25 000 руб.	
Уникальный дизайн для интернет-магазина	В минимальный набор страниц для интернет-магазина входит 10 типовых страниц. Для каждой страницы создается отдельный уникальный дизайн, соответствующий вашему корпоративному стилю и выбранной концепции.	100 000 руб.	
Верстка типовых страниц	Для того, чтобы идеи изображенные дизайнером на макетах воплотились в жизнь, необходимо сверстать эти страницы. Наши специалисты используют современные методы верстки, что позволяет оптимизировать загрузку страниц и добиться стабильного отображения сайта даже на устройствах с медленным интернет соединением.	80 000 руб.	
Настройка CMS	Базовая настройка системы управления контентом сайта, интеграция дизайна и настройка основных функций. Так же на данном этапе происходит интеграция верстки в систему управления, для того, чтобы администратор во время управления сайтом мог использовать для различных страниц различные варианты оформления (шаблоны).	45 000 руб.	
Адаптация под мобильные устройства	Обычно адаптивная верстка по трудозатратам составляет 30-40% от затрат на верстку и на дизайн, но в некоторых случаях эта цифра может существенно отличаться.	от 60 000 руб.	
Новости	Новостная лента, показывает не только актуальную информацию для пользователей сайта, но и позволяет им оценить частоту обновления сайта. Регулярная публикация новостей на сайте - залог высоких показателей доверия Вашей целевой аудитории	15 000 руб.	
Статьи	Раздел статей необходим в случае, когда вы хотите поделиться чем-то интересным связанным с Вашими товарами с пользователями Вашего интернет-магазина. Данный раздел крайне эффективен для продвижения сайта, конечно при условии публикации в него текстов.	15 000 руб.	
Стилизованная карта	Карта на сайте зачастую выбивается из основного стиля. Наши специалисты могут стилизовать карту, таким образом, чтобы она стала органичным элементом дизайна.	от 30 000 руб.	
Личный кабинет покупателя	Если у Вас есть постоянные покупатели, то им будет крайне удобно иметь возможность просматривать историю свих заказов, повторять заказы и отслеживать статус заказов. Для реализации на сайте такого функционала рекомендуется разработать личный кабинет покупателя.	от 20 000 руб.	
Интеграция с соц. сетями	В современном мире социальные сети имеют огромные масштабы. Позвольте пользователям своего сайта продвигать понравившиеся им товары, с помощью интеграции с социальными сетями.	10 000 руб.	
Простая фильтрация по каталогу	В рамках простой фильтрации разрабатывается один набор фильтров, применяемый к любым каталожным страницам. Такое решение подходит для интернет-магазинов занимающихся реализацией товаров с одинаковым набором характеристик.	20 000 руб.	
Сложная фильтрация по каталогу	Для сайтов, занимающихся различными по набору характеристик товаров мы рекомендуем делать сложную фильтрацию. Такой функционал позволит администратору сайта создавать различные фильтры для различных каталожных срезов.	40 000 руб.	
Сравнение товаров	Удобный интерфейс для сравнения товаров позволит Вашим пользователям выбрать то, что подходит им по параметрам и приобрести этот товар. Этот функционал будет стимулировать пользователей к взаимодействию с сайтом, что в свою очередь увеличит его конверсию.	13 500 руб.	
Wish List	Часто ли Вам дарили то, что Вам ни когда не пригодится? Данный модуль позволит пользователям сайта создавать списки товаров, которые они хотели бы купить и публиковать их в своих социальных сетях. Такой функционал позволит Вам совершать больше продаж.	24 000 руб.	
On-line оплата	В современном мире покупка товаров в интернет-магазине не заканчивается на оформлении товара. Пользователи могут оплатить товар со своих электронных кошельков и пластиковых карт. Это удобно, быстро и эффективно для Вашего интернет-магазина.	15 000 руб.	
Дополнительный тип товаров	Часто интернет-магазины продают товары настолько отличающиеся друг от друга, что не могут быть умещены в рамки одного типа карточки товара. Для этого Вы можете заказать дополнительно необходимое количество типов карточек товаров.	12 500 руб.	
Акции и скидки	Создавайте акционные разделы, прописывайте скидки в процентах из админ-панели Вашего интернет-магазина, стимулируйте продажи создавай разделы популярных товаров и многое другое с помощью модуля "Акции и скидки".	15 000 руб.	
Синхронизация с 1С	Вы ведете базу товаров в 1С? Значит Вы по достоинству оцените механизм синхронизации. Он позволит Вам управлять ценами, характеристиками и наличием товаров прямо из Вашей базы 1С.	от 45 000 руб.	
Синхронизация с CRM	Вы пользуетесь CRM для ведения заказов? Тогда синхронизация с вашей системой будет Вам очень полезна. Вы сможете получать все заказы сразу в систему и работать с ними, как если бы они были созданы Вашим менеджером.	от 35 000 руб.	
Товарные наборы	Зачастую пользователей больше привлекает целый набор позиций на Вашем сайте. С помощью данного функционала Вы сможете составлять различные наборы товаров из уже существующих и в случае необходимости давать дополнительную скидку на покупку сразу нескольких товаров набором.	14 000 руб.	
Сумма:	250000 РУБ

